Subject_Number,easy_1,difficult_1,easy_2,difficult_2,T1_easy,T1_difficult,T2_easy,T2_difficult,T3_easy,T3_difficult,P1T1_gains_easy,P1T1_losses_easy,P1T2_gains_easy,P1T2_losses_easy,P1T3_gains_easy,P1T3_losses_easy,P1T1_gains_difficult,P1T1_losses_difficult,P1T2_gains_difficult,P1T2_losses_difficult,P1T3_gains_difficult,P1T3_losses_difficult,T2IRT1_easy,T2INRT1_easy,T2IRT1_difficult,T2INRT1_difficult,T3IRT1_easy,T3INRT1_easy,T3IRT1_difficult,T3INRT1_difficult
1,16,14,16,16,3,7,17,17,18,18,0,13,2,1,2,0,1,8,4,1,4,0,1,.93,1,.91,1,1,1,1
2,17,8,17,7,6,4,16,11,16,11,0,11,0,1,0,1,1,5,4,1,4,1,1,.83,1,.5,1,.83,1,.5
3,14,5,12,5,1,2,8,7,12,9,0,13,1,7,2,4,0,3,3,1,5,1,1,.41,1,.31,1,.647058824,1,.4375
4,16,11,17,13,5,6,15,14,18,18,0,11,1,2,2,0,1,6,5,2,7,0,.6,.92,.83,.75,1,1,1,1
5,10,11,12,11,1,4,12,11,15,16,0,9,4,2,6,1,0,7,1,1,6,1,1,.65,1,.5,1,.823529412,1,.86
6,9,9,12,8,0,1,9,10,15,15,0,9,3,3,7,1,0,8,4,3,7,1, , , , , , , , 
7,15,14,16,16,11,12,17,17,18,18,0,4,2,0,3,0,1,3,4,1,4,0,1,.86,1,.83,1,1,1,1
8,12,13,13,11,4,4,13,9,15,11,0,8,3,2,3,0,0,9,0,4,2,4,.75,.71,.75,.43,1,.79,.75,.57
9,12,12,12,11,5,6,14,11,15,14,0,7,4,2,4,1,0,6,1,2,4,2,1,.69,.83,.5,.8,.85,.83,.75
10,17,14,18,13,2,3,11,8,14,17,0,15,1,7,1,4,0,11,2,8,4,1,1,.56,1,.33,1,.75,1,.93
11,15,12,16,14,5,6,16,15,17,18,0,10,2,1,3,1,0,6,3,0,6,0,1,.85,1,.75,1,.92,1,1
12,7,7,8,8,5,7,16,15,15,18,4,6,10,1,9,1,2,2,8,0,11,0,1,.85,.86,.82,1,.77,1,1
13,12,16,14,15,5,5,15,13,17,15,2,9,4,1,6,1,0,11,1,4,1,2,1,.77,1,.62,1,.923076923,1,.77
14,13,17,15,17,7,12,17,16,18,18,0,6,4,0,5,0,0,5,0,1,1,0,1,.91,1,.67,1,1,1,1
15,16,14,16,15,9,7,17,15,17,16,1,8,2,1,2,1,0,7,2,1,2,0,1,.89,1,.73,1,.89,1,.82
16,9,8,10,10,1,4,11,8,14,14,0,8,4,2,6,1,0,4,2,2,6,0,1,.59,1,.29,1,.76,1,.71
17,16,13,15,13,4,8,14,17,18,17,0,12,1,3,2,0,1,6,4,0,4,0,1,.71,1,.9,1,1,1,.9
18,15,13,15,15,5,9,13,14,17,14,0,10,1,3,2,0,1,5,2,1,1,0,1,.62,1,.56,1,.92,1,.56
19,13,6,12,7,1,1,14,14,15,14,0,12,3,2,4,2,0,5,9,1,9,1,1,.76,1,.76,1,.82,1,.76
20,12,11,13,11,3,4,13,10,18,15,0,9,2,1,6,0,0,7,2,3,5,1,1,.67,1,.43,1,1,1,.79
21,8,6,9,5,3,2,13,14,15,14,1,6,6,1,8,1,0,4,10,2,10,2,1,.67,1,.75,.67,.87,1,.75
22,15,12,14,12,4,7,14,11,17,16,0,11,3,4,3,1,0,5,2,3,4,0,1,.71,.86,.45,1,.93,1,.82
23,15,16,15,16,10,11,16,16,18,18,0,5,2,1,3,0,0,5,1,1,2,0,1,.75,.91,.86,1,1,1,1
24,14,13,13,12,3,5,13,12,16,16,0,11,1,2,3,1,0,8,4,5,5,2,1,.67,.8,.62,1,.87,1,.85
25,15,12,16,11,7,6,15,13,15,14,0,8,1,1,2,2,0,6,2,1,3,1,1,.73,1,.58,.86,.82,1,.67
26,11,12,11,12,3,4,13,13,14,14,0,8,3,1,3,0,0,8,2,1,2,0,1,.67,1,.64,1,.73,1,.71
27,12,12,13,11,5,6,13,13,16,15,1,8,3,2,4,0,0,6,3,2,3,0,1,.62,.67,.75,1,.85,1,.75
28,13,12,14,12,6,7,13,14,17,18,0,7,1,1,4,0,0,5,3,1,6,0,1,.58,1,.64,1,.92,1,1
29,11,12,11,12,4,6,14,12,17,17,0,7,3,0,6,0,0,6,3,3,6,1,1,.93,1,.92,1,.93,1,.92
30,11,13,13,14,2,1,13,15,17,16,0,9,4,2,6,0,0,12,3,1,3,0,1,.69,1,.82,1,.94,1,.88
31,12,7,11,9,2,2,15,11,17,16,0,10,4,1,5,0,0,5,6,2,9,0,1,.81,1,.56,1,.94,1,.88
32,12,8,12,10,2,4,8,8,13,14,0,10,1,5,3,2,0,4,0,0,6,0,1,.38,1,.29,1,.69,1,.71
33,15,7,15,11,2,3,11,11,14,13,0,13,1,5,1,2,0,4,5,1,8,2,1,.56,1,.53,1,.75,1,.67
34,12,9,12,10,2,5,11,14,17,18,0,10,2,3,6,1,0,4,5,0,9,0,1,.56,1,.69,1,.94,1,1
35,15,10,16,8,3,5,14,10,16,16,0,12,2,3,2,1,1,6,3,3,7,1,1,.73,1,.38,1,.87,1,.85
36,10,9,9,10,4,6,11,9,14,13,0,6,3,2,5,1,1,4,1,1,5,1,1,.5,.83,.33,1,.71,1,.58
