ID	condition	performance
p11	RE	0
p13	RE	0.5
p15	RE	0.2
p16	RE	0.4
p17	RE	0.8
p19	RE	0.4
p23	RE	0.3
p25	RE	0.3
p28	RE	0
p30	RE	0.3
p35	RE	0.4
p36	RE	0
p37	RE	0.1
p40	RE	0
p42	RE	0.1
p43	RE	0.9
p44	RE	0.7
p46	RE	0.4
p48	RE	0
p50	RE	1
p52	RE	0.8
p56	RE	0.4
p58	RE	0.7
p59	RE	0.8
p60	RE	0.3
p07	RE	0.1
p08	RE	0.6
p09	RE	0.1
p10	RE	0.2
p12	RE	0.4
p20	RE	0.4
p21	RE	0.6
p22	RE	0.7
p24	RE	0.4
p27	RE	0
p29	RE	0.1
p31	RE	0.8
p32	RE	0.9
p33	RE	0.9
p34	RE	0.2
p38	RE	0.9
p39	RE	0.6
p41	RE	0.4
p45	RE	0.4
p47	RE	0.7
p49	RE	0.3
p51	RE	0.5
p53	RE	0.6
p54	RE	0.1
p55	RE	0.5
p57	RE	0.7
p11	RH	0
p13	RH	0.1
p15	RH	0
p16	RH	0.3
p17	RH	0.2
p19	RH	0
p23	RH	0.2
p25	RH	0.1
p28	RH	0
p30	RH	0
p35	RH	0.1
p36	RH	0
p37	RH	0.1
p40	RH	0
p42	RH	0
p43	RH	0.4
p44	RH	0.2
p46	RH	0.5
p48	RH	0
p50	RH	0.7
p52	RH	0.8
p56	RH	0
p58	RH	0.3
p59	RH	0.5
p60	RH	0.2
p07	RH	0
p08	RH	0.1
p09	RH	0
p10	RH	0
p12	RH	0.1
p20	RH	0.1
p21	RH	0.2
p22	RH	0.3
p24	RH	0.2
p27	RH	0.1
p29	RH	0.2
p31	RH	0.1
p32	RH	0.2
p33	RH	0.3
p34	RH	0
p38	RH	0.3
p39	RH	0.2
p41	RH	0
p45	RH	0
p47	RH	0.4
p49	RH	0
p51	RH	0
p53	RH	0.3
p54	RH	0
p55	RH	0.2
p57	RH	0.4
p11	TE	0.4
p13	TE	0.9
p15	TE	0.6
p16	TE	0.8
p17	TE	1
p19	TE	0.4
p23	TE	0.8
p25	TE	0.4
p28	TE	0.1
p30	TE	0.4
p35	TE	0.5
p36	TE	0.4
p37	TE	0.3
p40	TE	0.4
p42	TE	0.3
p43	TE	1
p44	TE	0.8
p46	TE	0.8
p48	TE	0
p50	TE	1
p52	TE	0.8
p56	TE	0.6
p58	TE	1
p59	TE	1
p60	TE	0.7
p07	TE	0.6
p08	TE	1
p09	TE	0.2
p10	TE	0.8
p12	TE	0.6
p20	TE	0.6
p21	TE	1
p22	TE	0.9
p24	TE	0.8
p27	TE	0.4
p29	TE	0.6
p31	TE	0.8
p32	TE	0.9
p33	TE	0.9
p34	TE	0.5
p38	TE	0.9
p39	TE	1
p41	TE	0.7
p45	TE	0.6
p47	TE	1
p49	TE	0.9
p51	TE	0.8
p53	TE	1
p54	TE	0.6
p55	TE	0.8
p57	TE	1
p11	TH	0.1
p13	TH	0.7
p15	TH	0.1
p16	TH	0.7
p17	TH	0.7
p19	TH	0.2
p23	TH	0.4
p25	TH	0.2
p28	TH	0
p30	TH	0.3
p35	TH	0.1
p36	TH	0.1
p37	TH	0.1
p40	TH	0
p42	TH	0
p43	TH	0.8
p44	TH	0.5
p46	TH	0.6
p48	TH	0.1
p50	TH	0.8
p52	TH	0.8
p56	TH	0.2
p58	TH	0.9
p59	TH	0.9
p60	TH	0.2
p07	TH	0.1
p08	TH	0.8
p09	TH	0.2
p10	TH	0.2
p12	TH	0.5
p20	TH	0
p21	TH	0.6
p22	TH	0.2
p24	TH	0.4
p27	TH	0
p29	TH	0.3
p31	TH	0.4
p32	TH	0.6
p33	TH	0.5
p34	TH	0
p38	TH	0.7
p39	TH	0.1
p41	TH	0.1
p45	TH	0.1
p47	TH	0.7
p49	TH	0.1
p51	TH	0
p53	TH	0.6
p54	TH	0.2
p55	TH	0.3
p57	TH	0.8
