"","Rendimento Escolar","Inteligencia","Motivacao","Ansiedade","Idade","Sexo","Trabalha Atualmente","Design Instrucional","Atitude Positiva EAD","Resolucao de Problemas","Rendimento EscolarZ","InteligenciaZ","MotivacaoZ","AnsiedadeZ","Numero de Recursos","Indice AcademicoZ","IdadeZ","Atitude Positiva EADZ","Resolucao de ProblemasZ","Numero de Recursos.1","Indice Academico"
"1",63.3,74.2,22.6,9.9,23,"Feminino","Ativ.Remunerada","Personalizado",29.5,56.1,0.333522816192429,-1.86120008011446,0.667468393462455,-0.0494093631158263,11,0.728417418100135,0.529863768423477,1.43305672691978,2.05719414331998,11,77.6
"2",56,97.9,16.3,7.8,18,"Masculino","Ativ.Remunerada","Personalizado",24.8,49,-0.728204006194984,-0.178462486938703,-0.929184262712764,-1.09396972428935,5,-0.255672220728747,-2.04229044722447,-0.131912474921129,-0.439571398145295,5,67.3
"3",56.6,110.1,18.4,12.2,23,"Masculino","Estagio","Padrao",21.4,53.5,-0.640938787916566,0.687756864822656,-0.396966710654358,1.09463293721708,14,0.155161317811466,0.529863768423477,-1.26401785497626,1.14288563517777,14,71.6
"4",52.2,76.1,11.2,11.5,24,"Feminino","Ativ.Remunerada","Personalizado",15.8,42,-1.28088372195829,-1.72629706631556,-2.22171260342604,0.746446150159237,9,1.43543327512283,1.04429461155307,-3.12866201036118,-2.90117122775895,9,85
"5",59.8,121.5,14.8,13.1,21,"Feminino","Ativ.Remunerada","Padrao",26.4,52.2,-0.175524290431673,1.49717494761606,-1.3093396570402,1.5423016634343,15,-0.848036857693704,-0.4989979178357,0.40084299804599,0.685731381106661,15,61.1
"6",60.8,99.1,11.8,9.8,17,"Feminino","Ativ.Remunerada","Personalizado",17.5,51.5,-0.0300822599676437,-0.0932605834867664,-2.06965044569506,-0.0991503326955176,11,1.15835949331664,-2.55672129035406,-2.56260932033361,0.439571398145295,11,82.1
"7",58.8,96.8,16.4,9.3,23,"Masculino","Estagio","Padrao",27.6,49.9,-0.320966320895702,-0.256564231769645,-0.903840569757602,-0.347855180593975,12,0.785743028129003,0.529863768423477,0.80040960277133,-0.123079991480683,12,78.2
"8",47.7,101.2,15.1,13.6,19,"Feminino","Ativ.Remunerada","Padrao",20.1,46.9,-1.93537285904643,0.055842747554124,-1.23330857817471,1.79100651133276,10,-2.12830881500506,-1.52785960409488,-1.69688167676204,-1.17805134702939,10,47.7
"9",62.1,124.1,13,8.4,23,"Masculino","Estagio","Personalizado",24.1,55.8,0.158992379635595,1.68177907176192,-1.76552613023312,-0.795523906811198,11,-0.695168564283392,0.529863768423477,-0.364992994344244,1.95169700776511,11,62.7
"10",59.3,107.3,15.4,13.8,23,"Masculino","Ativ.Remunerada","Personalizado",17.9,49.7,-0.248245305663688,0.488952423434803,-1.15727749930922,1.89048845049214,12,1.53097595850427,0.529863768423477,-2.42942045209183,-0.193411415183929,12,86
